date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:36	38851/38851	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:28%20GMT	https://cartzilla.createx.studio/home-food-delivery.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/home-food-delivery.html	(from https://cartzilla.createx.studio/index.html)
09:21:36	56431/56431	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2003:21:29%20GMT	https://cartzilla.createx.studio/img/home/preview/th07.jpg	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/img/home/preview/th07.jpg	(from https://cartzilla.createx.studio/index.html)
09:21:37	116998/116998	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:29%20GMT	https://cartzilla.createx.studio/home-fashion-store-v2.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/home-fashion-store-v2.html	(from https://cartzilla.createx.studio/index.html)
09:21:37	33834/33834	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2003:21:29%20GMT	https://cartzilla.createx.studio/img/home/preview/th02.jpg	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/img/home/preview/th02.jpg	(from https://cartzilla.createx.studio/index.html)
09:21:37	68506/68506	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:30%20GMT	https://cartzilla.createx.studio/home-single-store.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/home-single-store.html	(from https://cartzilla.createx.studio/index.html)
09:21:37	29722/29722	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202021%2003:21:30%20GMT	https://cartzilla.createx.studio/img/home/preview/th05.jpg	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/img/home/preview/th05.jpg	(from https://cartzilla.createx.studio/index.html)
09:21:38	159067/159067	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:30%20GMT	https://cartzilla.createx.studio/shop-grid-ls.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-grid-ls.html	(from https://cartzilla.createx.studio/index.html)
09:21:38	159081/159081	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:31%20GMT	https://cartzilla.createx.studio/shop-grid-rs.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-grid-rs.html	(from https://cartzilla.createx.studio/index.html)
09:21:39	162025/162025	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:31%20GMT	https://cartzilla.createx.studio/shop-grid-ft.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-grid-ft.html	(from https://cartzilla.createx.studio/index.html)
09:21:39	149581/149581	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:32%20GMT	https://cartzilla.createx.studio/shop-list-ls.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/shop-list-ls.html	(from https://cartzilla.createx.studio/index.html)
